268,339968,385024
268,274432,339968
268,208896,274432
268,143360,208896
266,417792,421888
3045,978944,995328
3008,16384,20480
3008,12288,16384
3072,20480,24576
3045,995328,1024000
3008,20480,24576
3008,8192,12288
52089,806912,811008
3072,45056,49152
3072,131072,139264
3072,262144,274432
3072,344064,356352
3072,53248,61440
3072,364544,368640
3072,73728,77824
3072,180224,188416
3072,241664,249856
3072,155648,159744
3072,331776,335872
3091,561152,565248
3072,286720,290816
3091,729088,733184
3091,688128,692224
3072,221184,225280
3091,602112,606208
3091,770048,774144
3073,8192,12288
3072,294912,299008
3091,643072,647168
3095,626688,630784
3045,1024000,1028096
3072,372736,376832
62581,897024,901120
3008,16384,20480
44229,622592,626688
3045,1028096,1048576
3046,0,0
3008,20480,24576
3008,12288,16384
44339,888832,897024
13134,933888,937984
79051,684032,688128
41915,749568,753664
18393,421888,425984
44292,552960,557056
3046,0,16384
3008,16384,20480
3008,8192,12288
89274,53248,57344
3046,16384,32768
3008,20480,24576
3008,12288,16384
3078,942080,946176
3078,958464,983040
3072,98304,102400
3078,987136,991232
3081,516096,520192
3092,77824,81920
3088,389120,393216
3078,995328,999424
3046,32768,45056
3008,16384,20480
3008,8192,12288
11,638976,643072
62581,897024,901120
3046,45056,61440
3008,20480,24576
3008,12288,16384
3046,61440,73728
3008,16384,20480
3008,8192,12288
3092,90112,94208
3046,73728,90112
3008,20480,24576
3008,12288,16384
85448,536576,540672
3046,90112,102400
3008,16384,20480
3008,8192,12288
3046,102400,118784
3008,20480,24576
3008,12288,16384
3095,110592,114688
3095,131072,135168
3081,479232,483328
3081,507904,512000
3046,118784,131072
3008,16384,20480
3008,8192,12288
11,638976,643072
85448,536576,540672
84265,806912,811008
3046,131072,143360
3008,20480,24576
3008,12288,16384
3046,143360,159744
3008,16384,20480
3008,8192,12288
3090,24576,28672
3046,159744,176128
3008,20480,24576
3008,12288,16384
11,638976,643072
3046,176128,188416
3008,16384,20480
3008,8192,12288
3046,188416,204800
3008,20480,24576
3008,12288,16384
3083,401408,405504
3046,204800,217088
3008,16384,20480
3008,8192,12288
11,638976,643072
3046,217088,229376
3008,20480,24576
3008,12288,16384
3046,229376,245760
3008,16384,20480
3008,8192,12288
3083,413696,417792
3046,245760,258048
3008,20480,24576
3008,12288,16384
3083,401408,405504
3046,258048,274432
3008,8192,12288
3046,274432,290816
3008,16384,20480
3008,12288,16384
11,638976,643072
3083,401408,405504
3080,167936,172032
3081,376832,385024
3046,290816,294912
3081,401408,405504
3081,282624,286720
3081,266240,270336
3081,307200,311296
3081,323584,327680
3081,331776,335872
3081,344064,348160
3081,360448,364544
3081,475136,479232
3081,290816,294912
3008,20480,24576
3046,294912,311296
3008,16384,20480
3008,8192,12288
3046,311296,315392
59502,1032192,1036288
3008,20480,24576
84810,90112,94208
81677,385024,389120
3046,323584,335872
3046,315392,323584
3008,16384,20480
59502,1032192,1036288
3008,20480,24576
3008,12288,16384
24551,950272,954368
85468,733184,737280
82790,237568,241664
3080,724992,729088
3081,61440,69632
3080,974848,983040
3081,131072,139264
3080,1032192,1036288
3081,217088,221184
3081,4096,8192
3081,114688,118784
3080,950272,954368
3080,1007616,1011712
3080,745472,749568
3081,155648,159744
3080,1015808,1019904
3046,335872,339968
88290,385024,389120
88269,163840,167936
3046,339968,352256
3008,16384,20480
3008,8192,12288
79099,118784,122880
84279,868352,872448
3046,352256,376832
3008,20480,24576
3008,12288,16384
63646,98304,102400
60412,393216,397312
92957,237568,241664
80320,352256,356352
3046,376832,393216
3008,16384,20480
3008,8192,12288
3080,593920,618496
