39,37208064,37212160
47,16384,20480
47,47546368,47566848
47,8192,12288
0,57819136,57823232
0,57823232,57827328
0,57806848,57810944
47,20480,24576
0,57810944,57815040
2,22020096,22024192
47,47566848,47570944
22,32731136,32731648
48,19484672,19488768
48,11993088,11997184
47,16384,20480
18,45608960,45610496
18,6447104,6451200
22,32731648,32732672
22,32732672,32735232
47,20480,24576
18,45610496,45618688
18,45618688,45622784
18,6447104,6451200
48,19484672,19488768
48,11993088,11997184
22,32731136,32731648
47,16384,20480
48,11993088,11997184
18,6447104,6451200
47,20480,24576
36,15904768,15921152
36,18739200,18755584
36,15904768,15908864
36,15904768,15921152
36,15757312,15773696
47,47570944,47591424
47,16384,20480
47,12288,16384
28,18915328,18919424
48,745472,749568
18,6447104,6451200
48,19484672,19488768
48,11993088,11997184
24,59928576,59936768
0,2285568,2293760
24,59928576,59936768
47,20480,24576
11,53448704,53456896
0,2285568,2293760
47,16384,20480
22,27176960,27181056
11,53448704,53456896
7,62914560,62915584
29,60850176,60854272
22,27176960,27181056
7,62914560,62915584
47,47591424,47607808
29,60850176,60854272
47,8192,12288
47,16384,20480
47,20480,24576
47,47607808,47611904
47,20480,24576
48,13791232,13795328
47,47611904,47628288
47,16384,20480
47,12288,16384
48,8409088,8413184
48,13787136,13791232
47,47628288,47644672
47,20480,24576
47,8192,12288
25,56180736,56188928
25,54870016,54878208
47,47644672,47648768
25,56180736,56188928
47,16384,20480
25,54870016,54878208
25,56819712,56827904
47,20480,24576
25,56819712,56827904
7,62910464,62911488
29,42070016,42074112
20,25571328,25575424
29,42070016,42074112
7,62910464,62911488
20,25571328,25575424
47,16384,20480
47,20480,24576
47,47648768,47669248
22,45281280,45281792
47,12288,16384
47,16384,20480
22,47869952,47870976
22,45281792,45285376
22,47870976,47875072
22,60198912,60199936
22,62853120,62854144
22,60199936,60203008
22,47875072,47878144
22,63057920,63058944
22,45281280,45281792
47,20480,24576
22,62854144,62857216
47,16384,20480
1,53481472,53497856
47,20480,24576
1,63590400,63606784
1,53809152,53825536
1,64114688,64131072
1,53481472,53497856
1,53481472,53485568
47,47669248,47673344
47,16384,20480
48,13873152,13877248
0,2437120,2440192
47,47673344,47689728
47,8192,12288
47,20480,24576
18,6447104,6451200
48,737280,741376
48,13791232,13795328
48,11993088,11997184
48,8409088,8413184
47,47689728,47710208
47,12288,16384
47,16384,20480
28,18481152,18485248
40,17334272,17336320
47,47710208,47730688
47,8192,12288
47,20480,24576
24,59928576,59936768
0,2285568,2293760
47,16384,20480
0,2285568,2293760
24,59928576,59936768
47,20480,24576
11,53448704,53456896
11,53448704,53456896
7,62914560,62915584
29,60850176,60854272
22,27176960,27181056
7,62914560,62915584
29,60850176,60854272
22,27176960,27181056
47,16384,20480
47,20480,24576
48,7389184,7393280
47,16384,20480
47,47730688,47751168
47,20480,24576
47,12288,16384
10,3158016,3162112
48,13787136,13795328
48,8409088,8413184
47,47751168,47767552
47,8192,12288
47,16384,20480
25,56180736,56188928
25,54870016,54878208
47,20480,24576
25,54870016,54878208
25,56180736,56188928
25,56819712,56827904
47,16384,20480
25,56819712,56827904
29,42070016,42074112
20,25571328,25575424
7,62910464,62911488
29,42070016,42074112
7,62910464,62911488
20,25571328,25575424
47,47767552,47771648
47,20480,24576
47,16384,20480
47,47771648,47788032
47,20480,24576
22,45281280,45281792
