128166372010810581,mds,0,Write,2654453760,4096,54086
128166372011594132,mds,0,Write,3154132992,4096,51785
128166372011600556,mds,0,Write,3201662976,20480,45361
128166372011606862,mds,0,Write,3154124800,4096,39055
128166372017062367,mds,0,Write,57819136,4096,52301
128166372017074528,mds,0,Write,57823232,4096,40140
128166372017085606,mds,0,Write,57806848,4096,29061
128166372017220587,mds,0,Write,3154137088,4096,50331
128166372017230760,mds,0,Write,57810944,4096,40158
128166372020823372,mds,0,Write,156237824,4096,41296
128166372052829342,mds,0,Write,3201683456,4096,66576
128166372052830076,mds,0,Write,1509126144,512,65841
128166372053007505,mds,0,Write,3240710144,4096,44663
128166372053019821,mds,0,Write,3233218560,4096,32346
128166372053023423,mds,0,Write,3154132992,4096,28745
128166372053122921,mds,0,Write,1253568512,1536,85496
128166372053136474,mds,0,Write,1214406656,4096,71944
128166372053150930,mds,0,Write,1509126656,1024,57488
128166372053168971,mds,0,Write,1509127680,2560,39446
128166372053303663,mds,0,Write,3154137088,4096,61004
128166372053324416,mds,0,Write,1253570048,8192,40251
128166372053324663,mds,0,Write,1253578240,4096,40005
128166372053460731,mds,0,Write,1214406656,4096,60187
128166372053475393,mds,0,Write,3240710144,4096,45524
128166372053475848,mds,0,Write,3233218560,4096,45070
128166372053618820,mds,0,Write,1509126144,512,58347
128166372053623044,mds,0,Write,3154132992,4096,54124
128166372053631773,mds,0,Write,3233218560,4096,45394
128166372053767238,mds,0,Write,1214406656,4096,66180
128166372053772297,mds,0,Write,3154137088,4096,61121
128166372053935027,mds,0,Write,2431823872,16384,54640
128166372053944771,mds,0,Write,2434658304,16384,44896
128166372053951053,mds,0,Write,2431823872,4096,38614
128166372053955556,mds,0,Write,2431823872,16384,34111
128166372053963332,mds,0,Write,2431676416,16384,26336
128166372061585402,mds,0,Write,3201687552,20480,60516
128166372061596377,mds,0,Write,3154132992,4096,49540
128166372061606310,mds,0,Write,3154128896,4096,39607
128166372090805064,mds,0,Write,1897963520,4096,59604
128166372111569535,mds,0,Write,3221970944,4096,76383
128166372160746858,mds,0,Write,1214406656,4096,117810
128166372160764971,mds,0,Write,3240710144,4096,99697
128166372160813216,mds,0,Write,3233218560,4096,51451
128166372160968922,mds,0,Write,1670541312,8192,51996
128166372160973632,mds,0,Write,2285568,8192,47286
128166372160989368,mds,0,Write,1670541312,8192,31549
128166372161114224,mds,0,Write,3154137088,4096,62943
128166372161119796,mds,0,Write,791646208,8192,57371
128166372161129271,mds,0,Write,2285568,8192,47896
128166372161267861,mds,0,Write,3154132992,4096,65557
128166372161283483,mds,0,Write,1503571968,4096,49934
128166372161293648,mds,0,Write,791646208,8192,39770
128166372161343261,mds,0,Write,532676608,1024,146406
128166372161390152,mds,0,Write,2007007232,4096,99516
128166372161432043,mds,0,Write,1503571968,4096,57624
